,feature_id,river,reach,us_xs,ds_xs,peak_flow,ras_path
0,7242449,10170204000897,10170204000897,12359.04,10560.56,59.311,G:\AWS_ras2fim\sample-dataset\input_iowa\10170204000897\Hydraulic_Models\Simulations\10170204000897.g01
1,7242483,10170204000897,10170204000897,10361.64,6962.1,136.016,G:\AWS_ras2fim\sample-dataset\input_iowa\10170204000897\Hydraulic_Models\Simulations\10170204000897.g01
2,7242511,10170204000897,10170204000897,6747.84,5144.46,151.315,G:\AWS_ras2fim\sample-dataset\input_iowa\10170204000897\Hydraulic_Models\Simulations\10170204000897.g01
3,7242531,10170204000897,10170204000897,4840.27,3468.68,176.214,G:\AWS_ras2fim\sample-dataset\input_iowa\10170204000897\Hydraulic_Models\Simulations\10170204000897.g01
4,7242581,10170204000897,10170204000897,3251.83,38.37,176.214,G:\AWS_ras2fim\sample-dataset\input_iowa\10170204000897\Hydraulic_Models\Simulations\10170204000897.g01
